District,Block,School_ID,School_Name,School_Type,Reporting_Month,Enrolment_Total,Days_School_Functioned,Days_Meals_Planned,Days_Meals_Served,Meals_Served_Total,IFA_Distribution_Conducted,Deworming_Conducted,Monthly_Report_Submitted,Data_Complete,Remarks
Sitapur,Mahmudabad,SCH001,Government School 1,Upper Primary,2024-08,115,19,19,15,1725,No,Yes,No,Yes,
Sitapur,Mahmudabad,SCH002,Government School 2,Upper Primary,2024-08,96,22,22,20,1920,No,No,No,No,
Sitapur,Mahmudabad,SCH003,Government School 3,Upper Primary,2024-08,101,19,19,15,1515,Yes,Yes,No,Yes,
Sitapur,Mahmudabad,SCH004,Government School 4,Upper Primary,2024-08,198,22,22,21,4158,No,Yes,No,Yes,
Sitapur,Mahmudabad,SCH005,Government School 5,Upper Primary,2024-08,206,20,20,17,3502,No,Yes,Yes,No,
Sitapur,Mahmudabad,SCH006,Government School 6,Primary,2024-08,73,19,19,19,1387,No,Yes,Yes,No,
Sitapur,Mahmudabad,SCH007,Government School 7,Upper Primary,2024-08,162,20,20,19,3078,No,Yes,No,No,
Sitapur,Mahmudabad,SCH008,Government School 8,Primary,2024-08,125,22,22,19,2375,Yes,No,Yes,No,
Sitapur,Mahmudabad,SCH009,Government School 9,Primary,2024-08,126,19,19,19,2394,Yes,Yes,No,No,
Sitapur,Mahmudabad,SCH010,Government School 10,Primary,2024-08,110,20,20,16,1760,No,No,No,No,
Sitapur,Biswan,SCH011,Government School 11,Upper Primary,2024-08,78,18,18,18,1404,No,No,Yes,Yes,
Sitapur,Biswan,SCH012,Government School 12,Upper Primary,2024-08,214,18,18,17,3638,No,Yes,Yes,No,
Sitapur,Biswan,SCH013,Government School 13,Primary,2024-08,80,18,18,18,1440,No,Yes,No,Yes,
Sitapur,Biswan,SCH014,Government School 14,Primary,2024-08,181,22,22,21,3801,Yes,Yes,No,Yes,
Sitapur,Biswan,SCH015,Government School 15,Primary,2024-08,198,18,18,13,2574,Yes,Yes,Yes,Yes,
Sitapur,Biswan,SCH016,Government School 16,Primary,2024-08,207,19,19,14,2898,No,Yes,Yes,No,
Sitapur,Biswan,SCH017,Government School 17,Primary,2024-08,202,21,21,19,3838,No,No,Yes,No,
Sitapur,Biswan,SCH018,Government School 18,Primary,2024-08,180,19,19,19,3420,Yes,No,No,No,
Sitapur,Biswan,SCH019,Government School 19,Upper Primary,2024-08,115,22,22,21,2415,No,Yes,Yes,Yes,
Sitapur,Biswan,SCH020,Government School 20,Upper Primary,2024-08,128,21,21,17,2176,Yes,Yes,Yes,No,
Sitapur,Laharpur,SCH021,Government School 21,Upper Primary,2024-08,140,22,22,21,2940,No,No,Yes,No,
Sitapur,Laharpur,SCH022,Government School 22,Primary,2024-08,68,20,20,15,1020,No,Yes,No,No,
Sitapur,Laharpur,SCH023,Government School 23,Upper Primary,2024-08,140,19,19,16,2240,Yes,No,Yes,No,
Sitapur,Laharpur,SCH024,Government School 24,Primary,2024-08,154,18,18,17,2618,Yes,Yes,No,No,
Sitapur,Laharpur,SCH025,Government School 25,Upper Primary,2024-08,117,20,20,19,2223,Yes,No,Yes,Yes,
Sitapur,Laharpur,SCH026,Government School 26,Upper Primary,2024-08,123,18,18,14,1722,No,Yes,No,Yes,
Sitapur,Laharpur,SCH027,Government School 27,Upper Primary,2024-08,136,21,21,16,2176,No,Yes,No,Yes,
Sitapur,Laharpur,SCH028,Government School 28,Upper Primary,2024-08,100,19,19,15,1500,No,Yes,No,No,
Sitapur,Laharpur,SCH029,Government School 29,Primary,2024-08,105,18,18,13,1365,Yes,No,No,Yes,
Sitapur,Laharpur,SCH030,Government School 30,Primary,2024-08,105,21,21,18,1890,Yes,Yes,Yes,No,
